id,life,dis,money,sex,age
1,6,3,7,1,5
2,4,2,7,2,5
3,6,2,6,2,1
4,6,3,6,1,5
5,4,3,7,2,3
6,6,3,6,1,1
7,6,3,6,1,1
8,6,2,6,1,4
9,3,2,6,2,4
10,5,3,6,1,1
11,5,2,7,2,2
12,4,2,8,2,3
13,7,3,7,2,1
14,5,3,2,2,5
16,6,2,6,2,1
17,6,2,7,2,1
18,5,2,7,1,1
19,6,3,6,2,1
20,5,2,7,1,1
21,7,3,8,1,4
22,3,3,4,2,3
23,7,2,2,1,3
24,6,3,6,2,2
25,7,2,5,1,1
26,5,2,1,2,4
27,3,1,1,1,5
28,5,3,4,1,2
30,6,3,0,2,1
31,5,2,5,1,4
33,10,1,5,2,4
34,5,2,5,2,2
35,6,3,3,1,2
36,10,1,3,1,2
39,8,3,5,2,2
40,3,2,1,2,4
41,3,2,1,1,4
42,4,2,3,2,4
45,5,2,3,2,3
46,5,3,1,1,3
47,6,2,5,2,3
48,5,2,4,1,3
49,5,3,8,1,3
50,5,2,0,2,4
52,3,1,3,2,3
53,8,3,8,1,4
54,7,2,6,2,4
55,5,3,5,2,1
56,8,3,8,1,1
57,8,3,8,2,1
58,9,1,10,2,2
59,9,2,10,1,2
61,8,4,8,1,4
62,9,2,8,2,4
63,8,4,10,1,1
64,5,3,4,1,4
65,4,3,4,2,3
66,5,3,5,2,1
67,2,2,0,1,5
68,7,3,4,2,2
69,5,1,4,1,3
70,3,3,5,1,3
71,8,3,5,2,2
72,5,3,0,1,3
73,6,3,4,2,2
74,5,2,1,2,4
75,7,3,5,1,3
76,7,3,5,2,3
77,7,3,7,1,1
78,3,3,2,2,5
79,8,2,9,2,3
80,7,3,4,1,1
81,5,2,2,1,1
82,6,3,2,2,1
83,9,3,7,1,4
89,7,3,6,2,3
90,8,3,5,1,4
91,7,3,7,2,3
92,5,3,4,1,3
93,7,3,7,2,3
94,8,3,7,2,4
95,7,2,5,2,1
99,8,3,5,1,1
100,6,3,6,2,5
101,7,4,5,1,3
102,7,2,5,2,2
103,5,4,7,1,4
104,7,2,5,2,4
106,6,3,5,1,4
107,6,3,4,2,3
108,6,3,2,2,1
109,6,3,4,1,4
113,7,2,6,2,2
114,5,3,3,1,5
115,5,2,5,1,4
116,5,2,5,2,4
117,6,2,6,1,5
118,7,3,5,2,5
119,6,2,3,1,4
120,7,3,6,1,5
121,7,3,6,2,4
122,5,2,2,1,5
123,6,2,3,1,3
124,3,2,4,2,2
125,6,2,5,1,5
126,7,3,5,2,4
127,6,3,5,1,1
128,8,4,6,1,4
129,2,3,3,2,3
130,5,3,7,1,5
131,5,2,5,2,4
132,7,3,6,2,3
133,5,1,2,1,4
134,5,2,5,2,3
135,6,3,7,1,1
136,5,2,4,2,1
137,7,3,5,1,4
138,7,2,5,2,1
139,7,4,5,1,1
140,6,3,5,1,4
141,7,3,10,2,4
142,5,3,5,1,4
143,6,3,6,2,4
144,7,3,6,1,1
145,5,3,3,1,2
146,5,3,5,1,4
147,2,2,5,1,4
148,2,3,5,2,4
149,5,3,4,1,2
150,7,2,8,2,2
151,7,2,5,2,1
